artist,song,tag,content,tag_2
5 Seconds of Summer,Easier,"[Outro: All, Luke]","I love you so much that I hate you (Hate you)
Right now, it's so hard to blame you
'Cause you're so damn beautiful",[Outro]
5 Seconds of Summer,Easier,[Bridge: Luke],"The hardest part of all (Da-da-da-dum-da-da-da-da)
Is that we're only built to fall (Is it easier?)",[Bridge]
5 Seconds of Summer,Easier,[Intro: Luke],"Is it easier to stay? Is it easier to go?
I don't wanna know, oh
But I know that I'm never, ever gonna change
And you know you don't want it any other way",[Intro]
5 Seconds of Summer,Easier,"[Chorus: Luke, All]","Is it easier to stay? Is it easier to go?
I don't wanna know, oh
But I know that I'm never, ever gonna change
And you know that you're always gonna stay the same
Is it easier to stay? Is it easier to go?
I don't wanna know, oh (I don't wanna know)
But I know that I'm never, ever gonna change
And you know you don't want it any other way",[Chorus]
5 Seconds of Summer,Easier,"[Pre-Chorus: All, Luke]","I love you so much that I hate you
Right now, it's so hard to blame you
'Cause you're so damn beautiful
So damn beautiful",[Pre-Chorus]
5 Seconds of Summer,Easier,[Verse 1: Luke],"Why do we always gotta run away?
And we wind up in the same place
It's like we're looking for the same thing
Same thing, yeah
Yeah, do we really gotta do this now?
Right here with all your friends around
In the morning, we can work it out
Work it out",[Verse]
5 Seconds of Summer,Easier,"[Pre-Chorus: All, Luke]","I love you so much that I hate you (Oh)
Right now, it's so hard to blame you (Oh)
'Cause you're so damn beautiful (Oh)
So damn beautiful (Oh)",[Pre-Chorus]
5 Seconds of Summer,Easier,"[Chorus: Luke, All]","Is it easier to stay? Is it easier to go?
I don't wanna know, oh
But I know that I'm never, ever gonna change
And you know that you're always gonna stay the same
Is it easier to stay? Is it easier to go?
I don't wanna know, oh
But I know that I'm never, ever gonna change
And you know you don't want it any other way
You might also like",[Chorus]
5 Seconds of Summer,Easier,"[Chorus: Luke, All]","Is it easier to stay? Is it easier to go?
I don't wanna know, oh (Oh)
But I know that I'm never, ever gonna change
And you know that you're always gonna stay the same (Is it easier?)
Is it easier to stay? Is it easier to go? (Yeah)
I don't wanna know, oh (Oh)
But I know that I'm never, ever gonna change
And you know you don't want it any other way",[Chorus]
5 Seconds of Summer,Easier,[Verse 2: Luke],"Every time that you say you're gonna leave
That's when you get the very best of me
You know we need it like the air we breathe
Air we breathe, yeah",[Verse]
5 Seconds of Summer,Lie to Me,[Pre-Chorus: Luke & Calum],"Flashing back to New York City
Changing flights so you stay with me
Remember thinkin' that I got this right",[Pre-Chorus]
5 Seconds of Summer,Lie to Me,"[Chorus: Luke & Calum, Luke]","And now I wish we never met
'Cause you're too hard to forget
While I'm cleanin' up your mess
I know he's takin' off your dress
And I know that you don't, but if I ask you if you love me
Hope you lie, lie, lie, lie, lie to me",[Chorus]
5 Seconds of Summer,Lie to Me,[Verse 1: Luke],"I saw you lookin' brand new overnight
I caught you lookin' too, but you didn't look twice
You look happy, oh, mmm
You look happy, oh",[Verse]
5 Seconds of Summer,Lie to Me,"[Verse 2: Luke, All, Luke & Calum]","It's 3AM and the moonlight's testin' me (Ooh, ah-ah)
If I can make it till dawn, then it won't be hard to see (Ooh, ah-ah)
That I ain't happy, oh, mmm
I ain't too happy, oh, mmm",[Verse]
5 Seconds of Summer,Lie to Me,[Pre-Chorus: Luke & Calum],"Flashing back to New York City
Changing flights so you stay with me
Problem was I thought I had this right
You might also like",[Pre-Chorus]
5 Seconds of Summer,No Shame,[Verse 2: Luke],"Lay me in the palm of your hand
I'll give you my permission, you'll always be forgiven
Go on, replace me
When you're cravin' somethin' sweeter than the words I left in your mouth
Go on and spit me out
You might also like",[Verse]
5 Seconds of Summer,No Shame,"[Bridge: Luke, Luke & Ashton]","Go on and light me like a cigarette
Even if it might be somethin' you regret
You got me now, now, now
Swallow me down, down, down, down",[Bridge]
5 Seconds of Summer,No Shame,"[Pre-Chorus: Luke, Luke & Ashton]","Go on and light me like a cigarette
Even if it might be somethin' you regret
You got me now, now, now
Swallow me down, down, down, down",[Pre-Chorus]
5 Seconds of Summer,No Shame,"[Post-Chorus: All, Luke]","I love the way you're screaming my name
I love the way you're screaming my name",[Post-Chorus]
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus]
5 Seconds of Summer,No Shame,[Verse 1: Luke],"Angel, with the gun in your hand
Pointin' my direction, givin' me affection
Love is fatal, won't you give it a chance?
Center of attention, don't you ask me any questions",[Verse]
5 Seconds of Summer,She Looks So Perfect,[Chorus: All],"You look so perfect standing there
In my American Apparel underwear
And I know now that I'm so down (Hey!)
Your lipstick stain is a work of art (Hey!)
I got your name tattooed in an arrow heart (Hey!)
And I know now (Hey!) that I'm so down (Hey!)",[Chorus]
5 Seconds of Summer,She Looks So Perfect,[Post-Chorus: All],"Hey-hey, hey-hey, hey-hey, hey",[Post-Chorus]
5 Seconds of Summer,She Looks So Perfect,[Chorus: All],"You look so perfect standing there
In my American Apparel underwear
And I know now that I'm so down
Your lipstick stain is a work of art
I got your name tattooed in an arrow heart
And I know now that I'm so down (Hey!)",[Chorus]
5 Seconds of Summer,She Looks So Perfect,[Post-Chorus: All],"Hey-hey, hey-hey, hey-hey, hey",[Post-Chorus]
5 Seconds of Summer,She Looks So Perfect,[Intro: All],"Hey-hey, hey-hey, hey-hey, hey
Hey-hey, hey-hey, hey-hey, hey",[Intro]
5 Seconds of Summer,She Looks So Perfect,[Verse 1: Luke],"Simmer down, simmer down
They say we're too young now to amount to anything else
But look around
We worked too damn hard for this just to give it up now
If you don't swim, you'll drown
But don't move, honey",[Verse]
5 Seconds of Summer,She Looks So Perfect,[Chorus: All],"You look so perfect standing there
In my American Apparel underwear
And I know now that I'm so down
I made a mixtape straight out of '94
I've got your ripped skinny jeans lying on the floor
And I know now that I'm so down (Hey!)",[Chorus]
5 Seconds of Summer,Teeth,[Verse 1: Luke],"Some days, you're the only thing I know
Only thing that's burning when the nights grow cold
Can't look away, can't look away
Beg you to stay, beg you to stay, yeah
Sometimes, you're a stranger in my bed
Don't know if you love me or you want me dead
Push me away, push me away
Then beg me to stay, beg me to stay, yeah",[Verse]
5 Seconds of Summer,Teeth,"[Chorus: Luke, All, Luke & Calum]","Fight so dirty, but you love so sweet
Talk so pretty, but your heart got teeth
Late night devil, put your hands on me
And never, never, never ever let go
Fight so dirty, but you love so sweet
Talk so pretty, but your heart got teeth
Late night devil, put your hands on me
And never, never, never ever let go
You might also like",[Chorus]
5 Seconds of Summer,Teeth,[Bridge: Luke & Calum],"Blood on my shirt, rose in my hand
You're lookin' at me like you don't know who I am
Blood on my shirt, heart in my hand
Still beating",[Bridge]
5 Seconds of Summer,Teeth,"[Chorus: Luke, All, Luke & Calum]","Fight so dirty, but you love so sweet
Talk so pretty, but your heart got teeth
Late night devil, put your hands on me
And never, never, never ever let go
Fight so dirty, but you love so sweet
Talk so pretty, but your heart got teeth
Late night devil, put your hands on me
And never, never, never ever let go",[Chorus]
5 Seconds of Summer,Teeth,"[Pre-Chorus: Luke & Calum, Luke]","Call me in the morning to apologise
Every little lie gives me butterflies
Something in the way you're looking through my eyes
Don't know if I'm gonna make it out alive",[Pre-Chorus]
5 Seconds of Summer,Teeth,[Outro: All],"Teeth
Teeth
Teeth
Never, never, never ever let go",[Outro]
5 Seconds of Summer,Teeth,"[Pre-Chorus: Luke & Calum, Luke]","Call me in the morning to apologise
Every little lie gives me butterflies
Something in the way you're looking through my eyes
Don't know if I'm gonna make it out alive",[Pre-Chorus]
