artist,song,source_lyrics,tag,true_end_lyrics,generated_lyrics,generated_end_lyrics,bleu_score,perplexity
5 Seconds of Summer,No Shame,"Angel, with the gun in your hand",[Verse],"Pointin' my direction, givin' me affection Love is fatal, won'tyougive it achance? Center of attention, don't you askme any questions","Angel, with the gun in your hand, looking back at you. I don't know if she likes me.
Lars, my daughter, in this bed with you. You were",", looking back at you. I don't know if she likes me.
Lars, my daughter, in this bed with you. You were",9.641193013181824e-232,31.46308135986328
5 Seconds of Summer,No Shame,Go on and light me like a cigarette,[Pre-Chorus],"Even if it might be somethin' you regret You got me now, now, now Swallow me down, down, down, down","Go on and light me like a cigarette as I am made fun of. One could argue the habit exists for so long that it might just go away.
""But I'm still not"," as I am made fun of. One could argue the habit exists for so long that it might just go away.
""But I'm still not",9.678305797746228e-232,34.05459213256836
5 Seconds of Summer,No Shame,I only light up when cameras are flashin' Never enough and no satisfaction Got no shame I love the way you're screaming my name Diggin' my grave to get,[Chorus],a reaction Changin' my face and callin' it fashion Got no shame I love the way you're screaming my name,"I only light up when cameras are flashin' Never enough and no satisfaction Got no shame I love the way you're screaming my name Diggin' my grave to get me back where I belong' Got no shame, mama I'm showin' her what she wants' Keep your eyes open for me and let"," me back where I belong' Got no shame, mama I'm showin' her what she wants' Keep your eyes open for me and let",9.460904289886527e-232,36.183475494384766
5 Seconds of Summer,No Shame,"Lay me in the palm of your hand I'll give you my permission, you'll always be forgiven Go on, replace me When you're cravin'",[Verse],somethin' sweeter than the words I left in your mouth Go on and spit me out You might also like,"Lay me in the palm of your hand I'll give you my permission, you'll always be forgiven Go on, replace me When you're cravin' in the kitchen, do whatever you need As a husband to love me love me go
It's all been a dream come true for you Go on"," in the kitchen, do whatever you need As a husband to love me love me go
It's all been a dream come true for you Go on",9.296304027068154e-232,42.871788024902344
5 Seconds of Summer,No Shame,I only light up when cameras are flashin' Never enough and no satisfaction Got no shame I love the way you're screaming my name Diggin' my grave to get,[Chorus],a reaction Changin' my face and callin' it fashion Got no shame I love the way you're screaming my name,"I only light up when cameras are flashin' Never enough and no satisfaction Got no shame I love the way you're screaming my name Diggin' my grave to get where I am (It's in my mind, it's in my heart) Ooh-ooh It's good to know I'm not alone"," where I am (It's in my mind, it's in my heart) Ooh-ooh It's good to know I'm not alone",1.0332112772921225e-231,14.509069442749023
5 Seconds of Summer,No Shame,Go on and light me like a cigarette,[Bridge],"Even if it might be somethin' you regret You got me now, now, now Swallow me down, down, down, down","Go on and light me like a cigarette"" says the adage. ""Chances are you will still feel better when I've saved you from your pain.""

A month later I",""" says the adage. ""Chances are you will still feel better when I've saved you from your pain.""

A month later I",9.72161026064145e-232,31.42275047302246
5 Seconds of Summer,No Shame,I only light up when cameras are flashin' Never enough and no satisfaction Got no shame I love the way you're screaming my name Diggin' my grave to get,[Chorus],a reaction Changin' my face and callin' it fashion Got no shame I love the way you're screaming my name,"I only light up when cameras are flashin' Never enough and no satisfaction Got no shame I love the way you're screaming my name Diggin' my grave to get it (huh?)
JKL was a real wonder for my soul, that's for sure
Let me tell you about a guy who"," it (huh?)
JKL was a real wonder for my soul, that's for sure
Let me tell you about a guy who",9.542498413644002e-232,35.5078010559082
ABBA,Dancing Queen,"You can dance,",[Chorus],"you can jive Having the time of your life Ooh, see that girl, watch that scene Digging the dancing queen","You can dance, you can dance, you can dance. And they're dancing for you, and they're dancing for you.""

Didn't it have to"," you can dance, you can dance. And they're dancing for you, and they're dancing for you.""

Didn't it have to",9.192357257302235e-232,14.642032623291016
ABBA,Dancing Queen,"Friday night and the lights are low Looking out for a place to go Where they play the right music, getting in the swing You come to look for a king Anybody could be that guy Night is young and the music's high With a",[Verse],"bit of rock music, everything is fine You're in the mood for a dance And when you get the chance","Friday night and the lights are low Looking out for a place to go Where they play the right music, getting in the swing You come to look for a king Anybody could be that guy Night is young and the music's high With a crazy lead that pulls it all together You might also like", crazy lead that pulls it all together You might also like,1.0738060219382118e-231,114.70268249511719
ABBA,Dancing Queen,"You are the dancing queen Young and sweet, only seventeen Dancing queen Feel the beat from the tambourine, oh yeah You can dance, you can jive Having",[Chorus],"the time of your life Ooh, see that girl, watch that scene Digging the dancing queen You might also like","You are the dancing queen Young and sweet, only seventeen Dancing queen Feel the beat from the tambourine, oh yeah You can dance, you can jive Having a good day and dancing hot dance like a wild hare only to lose your fun like a mamma at that age You're the city,"," a good day and dancing hot dance like a wild hare only to lose your fun like a mamma at that age You're the city,",9.068941923401082e-232,97.26904296875
