artist,song,tag,content,tag_2,prompt_baseline_gemma,sentence,generated_content,id
5 Seconds of Summer,No Shame,[Verse 1: Luke],"Angel, with the gun in your hand
Pointin' my direction, givin' me affection
Love is fatal, won't you give it a chance?
Center of attention, don't you ask me any questions",[Verse],"Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Moonlight paints the lonely night,
My reflection shows a fading light.
Happiness, a distant memory's trace,
In this shadows, I find no solace in this space.",0
5 Seconds of Summer,No Shame,"[Pre-Chorus: Luke, Luke & Ashton]","Go on and light me like a cigarette
Even if it might be somethin' you regret
You got me now, now, now
Swallow me down, down, down, down",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Shadows linger, secrets hide,
Your gaze like venom, a venomous tide.
Can't deny the pull you hold,
In this twisted game, we lose control.",1
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus],"Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Now you're looking brand new, but I wish we'd never met
Cleanin' up your mess, while he's takin' off your dress, I forget
If I ask you if you love me, will you whisper in my ear?
Lie to me, lie, lie, lie, lie to me, my dear.",2
5 Seconds of Summer,No Shame,[Verse 2: Luke],"Lay me in the palm of your hand
I'll give you my permission, you'll always be forgiven
Go on, replace me
When you're cravin' somethin' sweeter than the words I left in your mouth
Go on and spit me out
You might also like",[Verse],"Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Verse] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Moonlight paints the lonely night,
Shadows whisper secrets in the candlelight.
I'm lost in this maze, my heart a hollow drum,
But I'll keep searching, 'cause I'm not done.",3
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus],"Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Now that you're out of sight, I'm feelin' alright
But I know you're takin' off in the moonlight tonight
So tell me one last time, before you fade from sight
Do you love me, love me, love me in the night?",4
5 Seconds of Summer,No Shame,"[Post-Chorus: All, Luke]","I love the way you're screaming my name
I love the way you're screaming my name",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Shadows linger, secrets shared in the night,
Your whispered promises, a flickering light.
But shame's a lie, a burden I cast away,
In your arms I find solace, come what may.",5
5 Seconds of Summer,No Shame,"[Bridge: Luke, Luke & Ashton]","Go on and light me like a cigarette
Even if it might be somethin' you regret
You got me now, now, now
Swallow me down, down, down, down",[Bridge],"Write the [Bridge] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Bridge] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Shadows linger, secrets shared in the night,
We're teetering on the edge, holding on with all our might.
But the whispers grow louder, pulling us apart,
Will we ever find our way back to where our hearts start?",6
5 Seconds of Summer,No Shame,[Chorus: All],"I only light up when cameras are flashin'
Never enough and no satisfaction
Got no shame
I love the way you're screaming my name
Diggin' my grave to get a reaction
Changin' my face and callin' it fashion
Got no shame
I love the way you're screaming my name",[Chorus],"Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Now that you're out of sight, I can't forget your light
You're stuck in my head like a haunting melody at night
I'm cleaning up your mess, but your memory's still sweet
Tell me a little lie, just to make this goodbye sweet.",7
5 Seconds of Summer,No Shame,"[Post-Chorus: All, Luke]","I love the way you're screaming my name
I love the way you're screaming my name",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""No Shame"" in the style of ""5 Seconds of Summer"". Generate only 4 sentences.","Shadows linger, secrets untold,
Your whispers echo, secrets unfold.
I crave your touch, your dizzying glow,
No shame in wanting you, letting go.",8
ABBA,Dancing Queen,[Chorus],"You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen",[Chorus],"Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Lights will shine, shadows fade,
Dancing queen, on this golden stage.
Heartache's gone, a brand new day,
Shadows fade as the night holds sway.",9
