index_x,artist,song,tag,Lyric,tag_2,True_end_lyrics,index_y,Generated Lyrics,Original Lyrics,Generated_eval,Original_eval,Generated_punct,Original_punct,Generated_coherence,Generated_musicality,Generated_quality,Original_coherence,Original_musicality,Original_quality,Generated_mean,Original_mean
559,Kesha,Take It Off,[Chorus],"There's a place downtown where the freaks all come around It's a hole in the wall, it's a dirty free-for-all And they turn me on when they take it off When they take it off, everybody take it off There's a place I know if you're lookin' for a show Where they go hardcore and there's glitter on the floor And they turn",[Chorus],"me on when they take it off When they take it off, everybody take it off You might also like",453,"There's a place downtown where the freaks all come around It's a hole in the wall, it's a dirty free-for-all And they turn me on when they take it off When they take it off, everybody take it off There's a place I know if you're lookin' for a show Where they go hardcore and there's glitter on the floor And they turn me on when they take it off, everyone take it off
'Cause that's where it's at? What if I just lookin' for...","There's a place downtown where the freaks all come around It's a hole in the wall, it's a dirty free-for-all And they turn me on when they take it off When they take it off, everybody take it off There's a place I know if you're lookin' for a show Where they go hardcore and there's glitter on the floor And they turn me on when they take it off When they take it off, everybody take it off You might also like","coherence: 8/10 (The lyrics follow a clear pattern and have a strong rhythm)
musicality: 7/10 (The melody of the chorus is catchy and fits well with the lyrics)
quality: 6/10 (The use of repetition and simple language is effective for a pop song, but the lyrical content may be considered shallow by some)

Note: These ratings are subjective and can vary depending on personal preferences and musical taste.","coherence: 7/10 (The lyrics follow a clear pattern and have a consistent theme)
musicality: 8/10 (The melody of the chorus is catchy and fits well with the lyrics)
quality: 6/10 (The use of language is simple and repetitive, but effective for a pop song)","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}","{'coherence': (7.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (6.0, 10.0)}",8.0,7.0,6.0,7.0,8.0,6.0,7.0,7.0
100,Bebe Rexha,The Way I Are (Dance with Somebody),[Chorus: Bebe Rexha],"I just wanna dance with somebody I just wanna dance with somebody It could be anybody Tell me, are you that somebody? Don't matter who you",[Chorus],are Just love me the way I are I just wanna dance with somebody I just wanna dance with somebody,85,"I just wanna dance with somebody I just wanna dance with somebody It could be anybody Tell me, are you that somebody? Don't matter who you are You can just tell me what you want or need I can just walk out and get that fucking white guy behind me
So let me start you...","I just wanna dance with somebody I just wanna dance with somebody It could be anybody Tell me, are you that somebody? Don't matter who you are Just love me the way I are I just wanna dance with somebody I just wanna dance with somebody","coherence: 6/10 (The lyrics are understandable but the last line seems out of place and disrupts the flow)
musicality: 8/10 (The melody is catchy and the rhythm is suitable for dancing)
quality: 7/10 (The production is decent but the last line seems unpolished and detracts from the overall quality)","coherence: 9/10 (The lyrics are clear and easy to follow)
musicality: 8/10 (The melody and rhythm of the chorus are catchy)
quality: 7/10 (The lyrics themselves may not be deeply meaningful, but they effectively convey the desired message for a pop song)","{'coherence': (6.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (9.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}",6.0,8.0,7.0,9.0,8.0,7.0,7.0,8.0
680,Meghan Trainor,Title,[Chorus],"Baby, don't call me your friend If I hear that word again You might never get a chance to see me Naked in your bed And I know girls ain't",[Chorus],hard to find But if you think you wanna try Then consider this an invitation To kiss my ass goodbye,545,"Baby, don't call me your friend If I hear that word again You might never get a chance to see me Naked in your bed And I know girls ain't got a lot to do I guess...","Baby, don't call me your friend If I hear that word again You might never get a chance to see me Naked in your bed And I know girls ain't hard to find But if you think you wanna try Then consider this an invitation To kiss my ass goodbye","coherence: 8/10 (The lyrics follow a clear theme and the rhyme scheme is consistent)
musicality: 7/10 (The melody and rhythm of the chorus are catchy, but not particularly complex)
quality: 6/10 (The lyrics are simple and not particularly original, but they effectively convey the message of the song)","coherence: 7/10 (The lyrics follow a clear and consistent theme)
musicality: 8/10 (The rhythm and melody of the chorus are catchy)
quality: 6/10 (The language used in the lyrics may not be considered high-quality or sophisticated)","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}","{'coherence': (7.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (6.0, 10.0)}",8.0,7.0,6.0,7.0,8.0,6.0,7.0,7.0
382,Halsey,Bad at Love,[Bridge],I know that you're afraid I'm gonna walk away Each time the feelin',[Bridge],fades Each time the feelin' fades I know that you're afraid I'm gonna walk away Each time the feelin' fades,312,"I know that you're afraid I'm gonna walk away Each time the feelin' cold


No one will ever know what you look like or what you're afraid of, but we're there together (Feels) just like...",I know that you're afraid I'm gonna walk away Each time the feelin' fades Each time the feelin' fades I know that you're afraid I'm gonna walk away Each time the feelin' fades,"coherence: 9/10 (The lyrics follow a clear and logical progression, expressing the singer's understanding of the other person's fears and emotions.)

musicality: 8/10 (The melody supports the emotional content of the lyrics, with a catchy, rhythmic chorus.)

quality: 7/10 (The bridge does not introduce any new or particularly memorable elements, maintaining the same chord progression and rhythm as the preceding sections.)","coherence: 10/10 (The lyrics clearly express a theme and follow a logical progression)
musicality: 8/10 (The repetition of the phrase ""each time the feeling fades"" creates a catchy and musical structure)
quality: 9/10 (The lyrics are well-written and effective in conveying emotion)","{'coherence': (9.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (10.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (9.0, 10.0)}",9.0,8.0,7.0,10.0,8.0,9.0,8.0,9.0
410,James Arthur,Naked,[Chorus],"I'm not gonna wait until you're gone 'Cause you pretend that you don't need anyone Can't you see that I'm naked (Naked, naked) Oh, see that I'm naked (Naked, naked) I'm not gonna try 'til you decide You're ready to swallow all your pride (Swallow your",[Chorus],"pride) I'm standing here naked (I'm standing here naked, naked, naked) I'm standing here naked (I'm standing, I'm standing here)",334,"I'm not gonna wait until you're gone 'Cause you pretend that you don't need anyone Can't you see that I'm naked (Naked, naked) Oh, see that I'm naked (Naked, naked) I'm not gonna try 'til you decide You're ready to swallow all your pride (Swallow your pride) (Swallow your pride) (Swallow your pride) Oh, I'm not gonna wait till you're gone 'Cause you pretend that...","I'm not gonna wait until you're gone 'Cause you pretend that you don't need anyone Can't you see that I'm naked (Naked, naked) Oh, see that I'm naked (Naked, naked) I'm not gonna try 'til you decide You're ready to swallow all your pride (Swallow your pride) I'm standing here naked (I'm standing here naked, naked, naked) I'm standing here naked (I'm standing, I'm standing here)","coherence: 8/10 (The lyrics convey a clear message of waiting for someone's readiness in a relationship)
musicality: 9/10 (The repeated phrases create a catchy and memorable melody)
quality: 7/10 (The lyrics are simple but effective in conveying the message)","coherence: 8/10 (The lyrics follow a clear theme and progression)
musicality: 7/10 (The repeated phrases create a catchy melody, but the rhythm could be more varied)
quality: 7/10 (The lyrics are simple but effective, and the melody is memorable)

Note: These scores are subjective and can vary depending on personal preferences.","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (7.0, 10.0)}",8.0,9.0,7.0,8.0,7.0,7.0,8.0,7.333333333333333
17,AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that (Boy, oh",[Chorus],boy I love it when I fall for that) See AJR LiveGet tickets as low as $46You might also like,14,"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that (Boy, oh boy I love it when I fall for that) Ooh waaaaaaa ee ya ee ya (Boy, oh boy I love it when...","But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that (Boy, oh boy I love it when I fall for that) See AJR LiveGet tickets as low as $46You might also like","coherence: 8/10 (The lyrics are clear and follow a consistent theme)
musicality: 9/10 (The repetition of the phrase ""I'm weak"" and the ""Ooh waaaaaaa ee ya ee ya"" section add musical interest)
quality: 7/10 (The lyrics themselves are not particularly deep or original, but the melody and production can be quite catchy)","coherence: 8/10 (The lyrics follow a clear and consistent theme throughout the chorus)
musicality: 7/10 (The melody is catchy and fits well with the lyrics, but it could have more complexity)
quality: 9/10 (The production quality is high, with a well-balanced mix and clear vocal performances)","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (9.0, 10.0)}",8.0,9.0,7.0,8.0,7.0,9.0,8.0,8.0
234,Conan Gray,Maniac,[Chorus],"Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath And tell them you hate me and",[Chorus],dated me just for laughs So why do you call me and tell me you want me back? You maniac,196,"Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath And tell them you hate me and make me feel better. But that doesn't mean I'm crazy. I'm just crazy. And that doesn't mean I'm telling them it's...","Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac","coherence: 8/10 (The lyrics follow a clear theme and rhyme scheme)
musicality: 7/10 (The melody and rhythm fit the lyrics well)
quality: 6/10 (The use of the theme may be considered problematic due to its potential to promote unhealthy or harmful behaviors)

Please note that these ratings are subjective and can vary depending on personal preferences and musical taste.","coherence: 8/10 (The lyrics follow a clear theme and narrative)
musicality: 7/10 (The melody and rhythm of the chorus are catchy, but not particularly complex or groundbreaking)
quality: 6/10 (The lyrics contain some repetition and cliches, but overall maintain a level of proficiency and polish)

Keep in mind that these scores are subjective and based on a limited analysis of the given chorus. Other factors such as production value, vocal performance, and overall song structure could also impact the final assessment of the track.","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}",8.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0
278,Demi Lovato,Sorry Not Sorry,[Chorus],"Baby, I'm sorry (I'm not sorry) Baby, I'm sorry (I'm not sorry) Bein' so bad got me feelin' so good Showin' you up like I knew that I would Baby, I'm sorry (I'm not sorry) Baby, I'm sorry",[Chorus],"(I'm not sorry) Feelin' inspired 'cause the tables have turned Yeah, I'm on fire and I know that it burns",235,"Baby, I'm sorry (I'm not sorry) Baby, I'm sorry (I'm not sorry) Bein' so bad got me feelin' so good Showin' you up like I knew that I would Baby, I'm sorry (I'm not sorry) Baby, I'm sorry (I'm not sorry) Bein' so bad got me feelin' so good Showin' you up like I knew that I would Baby...","Baby, I'm sorry (I'm not sorry) Baby, I'm sorry (I'm not sorry) Bein' so bad got me feelin' so good Showin' you up like I knew that I would Baby, I'm sorry (I'm not sorry) Baby, I'm sorry (I'm not sorry) Feelin' inspired 'cause the tables have turned Yeah, I'm on fire and I know that it burns","I'd be happy to provide a score for the given chorus based on coherence, musicality, and quality. Please keep in mind that these scores are subjective and based on my personal interpretation.

coherence: 9/10
The lyrics in the chorus are repetitive, but the message is clear and consistent. The use of the contradictory ""I'm sorry (I'm not sorry)"" phrase adds an intriguing element to the lyrics.

musicality: 8/10
The melody of the chorus is catchy and easy to follow, making it memorable and appealing to listeners. The rhythm also complements the lyrics well.

quality: 7/10
The quality of the lyrics themselves is decent, but there isn't anything particularly noteworthy or original in the chorus. The repetitive nature of the lyrics may be seen as a weakness by some listeners.

Overall score: 24/30 (8/10)","coherence: 8/10 (The lyrics are clear and follow a consistent theme of apologizing and enjoying the situation)
musicality: 9/10 (The repetition of the ""Baby, I'm sorry"" line creates a catchy and memorable melody)
quality: 7/10 (The lyrics are simple and may not be particularly original or poetic, but they effectively convey the intended emotion)","{'coherence': (9.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0), 'score': (24.0, 30.0)}","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0)}",9.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0
64,Ava Max,So Am I,[Pre-Chorus],"I can see ya, I know",[Pre-Chorus],what you're feelin' So let me tell you 'bout my little secret I'm a little crazy underneath this Underneath this,55,"I can see ya, I know it's all that is good.""...","I can see ya, I know what you're feelin' So let me tell you 'bout my little secret I'm a little crazy underneath this Underneath this","coherence: 8/10 (The lyric is clear and understandable)
musicality: 7/10 (The lyric flows well with the melody but could be more dynamic)
quality: 9/10 (The lyric itself is of high quality and fits the pop genre)

This is just a rough estimate and can vary depending on the specific context of the song and personal preferences.","coherence: 8/10 (The lyrics follow a clear and understandable structure, expressing the speaker's ability to observe the other person's emotions and their intention to reveal a secret.)

musicality: 7/10 (The rhythm and melody of the pre-chorus fit well with the overall pop genre, but it could benefit from more distinctive melodic hooks.)

quality: 7/10 (The production value is decent, and the vocals are on-key. However, there is room for improvement in terms of harmony and arrangement to elevate the overall quality.)","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (9.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (7.0, 10.0)}",8.0,7.0,9.0,8.0,7.0,7.0,8.0,7.333333333333333
39,Alessia Cara,Growing Pains,[Verse 2],Try to mend what's left of my content incomprehension As I take on the,[Verse],"stress of the mess that I've made Don't know if I even care for ""grown"" if it's just alone, yeah",31,"Try to mend what's left of my content incomprehension As I take on the burden of asking the simple question: ""What's the difference between shopping and selling?"" Before we all work on this, I want you to stop and...","Try to mend what's left of my content incomprehension As I take on the stress of the mess that I've made Don't know if I even care for ""grown"" if it's just alone, yeah","I'm unable to provide a score based on the given verse as it is incomplete and lacks musical context. For a fair assessment of coherence, musicality, and quality, I would need to consider the entire song or at least a complete section with its melody, rhythm, and lyrics.","coherence: 6/10 (The lyrics have a clear meaning but the sentence structure could be improved for better flow)
musicality: 8/10 (The melody and rhythm of the verse fit well with the emotional tone of the lyrics)
quality: 7/10 (The lyrics themselves are decent but lack the depth or originality to stand out)",{},"{'coherence': (6.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}",-10.0,-10.0,-10.0,6.0,8.0,7.0,-10.0,7.0
